Station,R2_Day,R2_Night,Samples,Train_Size,Test_Size,Model_File
BEN01,0.5775488093990526,0.39871288370615954,95,76,19,station_models\rf_model_BEN01.joblib
BEN02,0.9426118363462177,0.8736804214220376,95,76,19,station_models\rf_model_BEN02.joblib
BEN03,0.686131039932595,0.8137594887960937,95,76,19,station_models\rf_model_BEN03.joblib
BEN04,0.09908564490926086,0.7673256489501319,95,76,19,station_models\rf_model_BEN04.joblib
BEN05,0.7268869563939735,0.3885302770587583,95,76,19,station_models\rf_model_BEN05.joblib
CHE01,0.05713940826363895,0.4225881412856537,95,76,19,station_models\rf_model_CHE01.joblib
CHE02,0.27392807331234525,0.8044383046436552,95,76,19,station_models\rf_model_CHE02.joblib
CHE03,0.1730669384345389,0.6898259360315866,95,76,19,station_models\rf_model_CHE03.joblib
CHE04,0.9010953354149096,0.9541144151042152,95,76,19,station_models\rf_model_CHE04.joblib
CHE05,0.5354052890607236,0.6459835144251745,95,76,19,station_models\rf_model_CHE05.joblib
DEL01,0.5044569437865222,0.1278646809458085,95,76,19,station_models\rf_model_DEL01.joblib
DEL02,0.7214223084597522,0.7739884209153638,95,76,19,station_models\rf_model_DEL02.joblib
DEL03,0.1864121203849748,0.20724721007901237,92,73,19,station_models\rf_model_DEL03.joblib
DEL04,0.4493504912306213,0.5364951249255098,95,76,19,station_models\rf_model_DEL04.joblib
DEL05,0.5115390050496682,-0.44594885230340164,95,76,19,station_models\rf_model_DEL05.joblib
HYD01,0.19800979860026546,0.2230820117125768,95,76,19,station_models\rf_model_HYD01.joblib
HYD02,0.8287636773867847,0.7361700026326674,95,76,19,station_models\rf_model_HYD02.joblib
HYD03,0.9098210622065085,0.9493698456101903,95,76,19,station_models\rf_model_HYD03.joblib
HYD04,0.9820826472450676,0.9657734157797152,95,76,19,station_models\rf_model_HYD04.joblib
HYD05,0.9344367235972508,0.8242174419657244,95,76,19,station_models\rf_model_HYD05.joblib
KOL01,0.37251470837915446,0.6658141859484783,95,76,19,station_models\rf_model_KOL01.joblib
KOL02,0.9231997972499035,0.8963825844910711,95,76,19,station_models\rf_model_KOL02.joblib
KOL03,0.8399734511664376,0.6113855935323503,89,71,18,station_models\rf_model_KOL03.joblib
KOL04,0.8660960731357952,0.9078518640145813,95,76,19,station_models\rf_model_KOL04.joblib
KOL05,0.8169724806021125,0.8163390452221773,95,76,19,station_models\rf_model_KOL05.joblib
LUC01,0.47203973068485894,0.4657894924462501,95,76,19,station_models\rf_model_LUC01.joblib
LUC02,-0.8602965078438483,0.7102444939874224,95,76,19,station_models\rf_model_LUC02.joblib
LUC03,0.7473134980918597,0.6839114333347105,95,76,19,station_models\rf_model_LUC03.joblib
LUC04,0.5719626091147351,0.3714840106558446,95,76,19,station_models\rf_model_LUC04.joblib
